path,bytes,sha256,role
results/training/import-4d75bee/large_20260911/q4_gpu7_retry/dagger.pt,4026279,11954de1347f6074a1d6962b60c65b7cb41637bb9c0b87950a8564c4915d7dc0,其他阶段或历史归档；按原批次使用
results/training/import-4d75bee/large_20260911/q4_gpu7_retry/latest.pt,4293891,f52cdd85ee5209da1c3ae3bc021e7a1f774bcbf5e02e63610d0a722c9ff774d3,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q3_ppo_20260911/bc.pt,4021219,af1d7c256be01a983c893466d651f86fc3282bffe716bd16e9f21468f59376be,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q3_ppo_20260911/best.pt,4303369,2407c9940cab8b0a6325e6e84f5637692cde0bf63e682a1c1aa816903561f09c,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q3_ppo_20260911/dagger.pt,4026407,524e3bee305440b103ffc136bfebb5a70bbc9e457617f7c8fc7d67dd0c00fdf1,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q3_ppo_20260911/latest.pt,4294083,1fc1f257111048fed14f6870ec5e3f05f942ff4518750042fa57c2ea80ac2df9,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q4_ppo_20260911/bc.pt,4021155,02d190d59ad34cdc4a6ca0f3618bf6acf58435c6f61f2ffbd750f8ac785bac82,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q4_ppo_20260911/best.pt,4303305,d91dd378125652fd57305d05ce56d87422bab17bbb7a987d8d7793d7ca72df15,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q4_ppo_20260911/dagger.pt,4026279,b63e984c61bd72dc78c3e8e2f4b4cdf3164797e3a97ea4aa11c53d58ded5d8c8,其他阶段或历史归档；按原批次使用
results/training/import-c457828/q4_ppo_20260911/latest.pt,4293955,99d117446deac899dd566bf25ef7a46b56b5184c0b1e0babd87ea4878fd9adda,其他阶段或历史归档；按原批次使用
results/training/import-c457828/smoke_20260911/q3_functional.pt,4299630,4ed577ad45311d0923e26f9152b28e34814f78158b39c0c627e0ffe6d88566cd,其他阶段或历史归档；按原批次使用
results/training/import-c457828/smoke_20260911/q4_functional.pt,4299630,7e0c49d2f748c41823d8f93457cfffbe55f27b93d70fa769ca4dd48d185cace1,其他阶段或历史归档；按原批次使用
