index,x_m,y_m,guaranteed_receive,score_J_s,sampled_posterior_radius_m
85,702.2652299899531,-262.9158421253632,True,378.2471743871587,103.92831090051897
86,718.0314552396443,-344.23002010227964,True,380.88627574406394,85.06849969031025
87,718.0314552396443,-303.5729311138214,True,378.0585291945464,92.39446312643365
88,718.0314552396443,-262.9158421253632,True,377.08052371481557,101.68230261968107
89,686.499004740262,262.91584212536304,True,379.5465357930461,106.32006541795828
90,686.499004740262,303.57293111382126,True,380.1417994002246,96.44549769391404
91,686.499004740262,344.23002010227947,True,383.38191229274287,88.66359077194376
92,702.2652299899531,262.91584212536304,True,378.24717438713424,103.92831090051853
93,702.2652299899531,344.23002010227947,True,382.63072528015255,86.88407948696265
94,718.0314552396443,262.91584212536304,True,377.08052371480665,101.68230261968085
95,718.0314552396443,303.57293111382126,True,378.05852919454645,92.39446312643365
96,718.0314552396443,344.23002010227947,True,380.8862757440638,85.06849969031003
97,753.7682324722775,-257.49489692690213,True,376.66214611096484,98.06186596304768
98,753.7682324722775,-216.83780793844392,True,377.7647192359706,110.04249109437242
99,753.7682324722775,-176.1807189499857,True,381.90568659225494,126.56817771855678
100,769.5344577219687,-257.49489692690213,True,381.5009685913774,95.83036319738153
101,769.5344577219687,-176.1807189499857,True,386.5429767695757,123.60345926363874
102,785.3006829716599,-257.49489692690213,True,386.34026595575074,93.55145706036524
103,785.3006829716599,-216.83780793844392,True,387.3589005704587,104.96441904607184
104,785.3006829716599,-176.1807189499857,True,391.17727371208423,120.6228561336219
105,652.8643908742542,176.18071894998548,True,389.94540685223285,145.57895182248927
106,652.8643908742542,216.8378079384437,True,384.52566326670956,126.77063760233158
107,652.8643908742542,257.4948969269019,True,382.2133946191516,112.65063261113184
108,668.6306161239454,176.18071894998548,True,388.4538358722724,142.614652525664
109,668.6306161239454,257.4948969269019,True,380.9457132035476,110.35634059889328
110,684.3968413736366,176.18071894998548,True,386.8905526967498,139.6795008091693
111,684.3968413736366,216.8378079384437,True,381.708329371781,121.38889378287374
112,684.3968413736366,257.4948969269019,True,379.73420123916196,108.05731371814018
113,652.8643908742542,-257.49489692690213,True,382.213394619166,112.65063261113251
114,652.8643908742542,-216.83780793844392,True,384.52566326671587,126.77063760233224
115,652.8643908742542,-176.1807189499857,True,389.9454068522375,145.57895182248973
116,668.6306161239454,-257.49489692690213,True,380.9457132035424,110.35634059889328
117,668.6306161239454,-176.1807189499857,True,388.4538358723174,142.6146525256638
118,684.3968413736366,-257.49489692690213,True,379.7342012392064,108.05731371814062
119,684.3968413736366,-216.83780793844392,True,381.7083293717668,121.3888937828733
120,684.3968413736366,-176.1807189499857,True,386.89055269673526,139.67950080916953
121,619.2297770082465,-257.49489692690213,True,385.0290506111179,117.73391862218264
122,619.2297770082465,-216.83780793844392,True,387.51807389668085,132.35001704914583
123,619.2297770082465,-176.1807189499857,True,393.44373660298345,152.2310688172777
124,634.9960022579377,-257.49489692690213,True,383.734691464919,115.44384751847512
125,634.9960022579377,-176.1807189499857,True,391.87349112284966,149.190480768456
126,650.7622275076288,-257.49489692690213,True,382.4250817806522,113.00689164558744
127,650.7622275076288,-216.83780793844392,True,384.6925369646882,127.08665427859833
128,650.7622275076288,-176.1807189499857,True,390.216997273675,146.02240067352056
