seed,group,field,radius,method,available,guaranteed_receive,second_received,posterior_contains_truth,posterior_radius_m,posterior_diameter_m,posterior_area_m2,clear_ready,second_action_s,predicted_radius_m,predicted_J_s,selection_s,evaluated_candidates,completed,total_virtual_s,measures,clear_attempts,error
413026,edge,positive,1250.0,current,True,True,True,True,43.308999451416085,86.61799890283217,1198.318895306475,False,126.842697,71.53642747055754,288.6374806449267,1.1265999550000743,129,True,261.39948,3,1,
413026,edge,positive,1250.0,shape,True,True,True,True,68.88722380539407,137.77444761078792,2065.3523709741808,False,124.602001,81.58545223461662,289.01614569764615,0.293809395000153,31,True,255.185391,3,1,
413027,rotated,positive,1250.0,on_bearing,True,True,True,True,372.61881144255307,745.2373062021512,7140.447414550879,False,155.0,375.17371308954966,476.6215980281388,0.010299827999915578,1,True,286.27975,3,1,
413027,rotated,positive,1250.0,fixed_flank,True,True,True,True,34.310469492044184,68.62093898408826,1002.5238062232663,False,179.928557,69.18929786262213,394.25567908706523,0.011086477999924682,1,True,317.393277,3,1,
413027,rotated,positive,1250.0,current,True,True,True,True,48.74067319901823,97.48134639803631,1149.9076415184963,False,162.040925,101.2951416680827,375.2375510363329,1.2480359050000516,129,True,275.492794,3,1,
413027,rotated,positive,1250.0,shape,True,True,True,True,46.62631745311175,93.25263490622349,1014.251045933683,False,161.410191,107.94138857108369,375.79667062279015,0.37090079799986597,31,True,267.209198,3,1,
413028,wrap,positive,1250.0,on_bearing,True,True,True,True,168.915299887045,337.83059977408993,1082.4852228234774,False,155.0,375.1751222963937,476.62258447293027,0.012213301999963733,1,True,244.706513,3,1,
413028,wrap,positive,1250.0,fixed_flank,True,True,True,True,18.960483188376546,37.92096637675304,361.93017405150965,True,179.928557,69.23772782283464,393.71897688527406,0.01172538900004838,1,True,300.595399,2,1,
413028,wrap,positive,1250.0,current,True,True,True,True,23.645626536061187,47.291253072122316,363.5135004744644,False,163.402652,97.59053441757422,374.95055642746956,1.353666363000002,129,True,273.825393,3,1,
413028,wrap,positive,1250.0,shape,True,True,True,True,26.111064708603543,52.22212941720703,388.19456504477654,False,161.405721,107.89641677722386,375.74069893584885,0.30155227399995965,31,True,268.802693,3,1,
413029,short_range,positive,1250.0,on_bearing,True,True,True,True,361.68558637048136,723.3711727409627,3178.662639760323,False,155.0,375.15582367008955,476.6090754344644,0.010169783000037569,1,True,328.637268,3,1,
413029,short_range,positive,1250.0,fixed_flank,True,True,True,True,28.234626886322314,56.469253772644606,110.36114246058855,False,179.928557,69.19186878739926,393.95446155796077,0.013064387000213173,1,True,369.935555,3,1,
413029,short_range,positive,1250.0,current,True,True,True,True,36.522778364347246,73.04555672869449,158.09349018626858,False,163.741506,94.23892189313605,375.50982162677917,1.197879796000052,129,True,335.878149,3,1,
