index,seed,N,baseline_last_clear_s,c_last_clear_s,delta_c_minus_baseline_s
1517,1713001517,12,9867.528263,9867.528263,0.0
1518,1713001518,11,11764.516504,9962.592728,-1801.9237759999996
1519,1713001519,11,9192.055211,9166.80414,-25.251071000000593
1520,1713001520,15,12450.035104,12222.06816,-227.96694399999978
1521,1713001521,10,12363.959316,12363.959316,0.0
1522,1713001522,13,4962.298064,2577.421005,-2384.8770589999995
1523,1713001523,14,9573.00635,9573.00635,0.0
1524,1713001524,12,10159.832263,10375.062479,215.23021599999993
1525,1713001525,12,7956.737577,7974.932752,18.195174999999836
1526,1713001526,14,9241.489463,8938.574105,-302.9153580000002
1527,1713001527,14,12536.815794,12695.413339,158.59754500000054
1528,1713001528,12,7973.471981,8173.031758,199.5597770000004
1529,1713001529,14,9724.582599,9724.582599,0.0
1530,1713001530,12,11736.553888,13136.168563,1399.614674999999
1531,1713001531,16,8018.755121,8018.755121,0.0
1532,1713001532,16,5977.233508,5977.233508,0.0
1533,1713001533,10,9960.862516,9951.829312,-9.033203999999387
1534,1713001534,12,8696.966474,8622.246503,-74.71997100000044
1535,1713001535,15,9772.229736,9772.229736,0.0
1536,1713001536,14,11631.944429,11631.944429,0.0
1537,1713001537,11,7725.795961,7725.795961,0.0
1538,1713001538,13,8614.662832,8847.327318,232.66448599999967
1539,1713001539,15,12279.543089,12309.707376,30.164286999999604
1540,1713001540,16,6484.073776,6484.073776,0.0
1541,1713001541,13,9448.794489,9495.052992,46.25850300000093
1542,1713001542,16,1635.30915,1622.394556,-12.91459400000008
1543,1713001543,12,8924.245754,8924.245754,0.0
1544,1713001544,16,6063.216369,6069.604866,6.388496999999916
1545,1713001545,16,9300.599601,9300.599601,0.0
1546,1713001546,10,2425.922655,1390.266291,-1035.656364
1547,1713001547,11,7645.800559,7645.800559,0.0
1548,1713001548,11,11004.169264,10985.329173,-18.84009100000003
1549,1713001549,15,8623.549798,8606.091389,-17.458409000000756
1550,1713001550,10,3652.503344,5634.180759,1981.6774149999997
1551,1713001551,13,14042.305758,14042.305758,0.0
1552,1713001552,10,7104.712148,7104.712148,0.0
1553,1713001553,11,8633.551065,8633.551065,0.0
1554,1713001554,15,11132.107318,12798.757761,1666.6504430000005
1555,1713001555,11,9154.10217,9154.10217,0.0
1556,1713001556,13,7360.537339,7283.857658,-76.67968100000053
1557,1713001557,12,10069.013989,10245.674718,176.66072900000108
1558,1713001558,16,4228.118725,3128.819392,-1099.2993330000004
1559,1713001559,11,7608.706702,7652.954159,44.247456999999486
1560,1713001560,13,10678.229058,10007.866405,-670.3626530000001
1561,1713001561,15,8457.654092,8457.654092,0.0
1562,1713001562,12,3108.2927,3147.274473,38.981772999999976
1563,1713001563,16,14791.828597,14746.112116,-45.716480999999476
1564,1713001564,15,8445.823184,8445.823184,0.0
1565,1713001565,13,8333.116077,8333.116077,0.0
1566,1713001566,10,11576.069878,11258.444282,-317.62559599999986
1567,1713001567,13,9532.141776,9532.141776,0.0
1568,1713001568,15,9029.179165,6012.848642,-3016.3305229999996
1569,1713001569,14,10640.554607,10640.554607,0.0
1570,1713001570,13,7742.19667,2945.714771,-4796.481899
1571,1713001571,15,10508.421747,10508.421747,0.0
1572,1713001572,11,12519.903408,12519.903408,0.0
1573,1713001573,14,8523.768935,8523.543852,-0.22508299999935844
1574,1713001574,13,2775.237595,2723.971529,-51.26606600000014
1575,1713001575,16,12343.406152,13701.393465,1357.9873129999996
1576,1713001576,16,4505.035697,5161.67267,656.6369729999997
1577,1713001577,15,5222.842845,5222.842845,0.0
1578,1713001578,12,9673.373343,9796.387489,123.01414600000135
1579,1713001579,16,8044.391576,8044.391576,0.0
1580,1713001580,12,6554.312081,8208.864836,1654.5527550000006
1581,1713001581,11,10343.645899,10343.645899,0.0
1582,1713001582,12,4472.046577,4519.323066,47.276488999999856
1583,1713001583,15,12120.532409,12096.984701,-23.547708000000057
1584,1713001584,11,10692.032599,10940.46507,248.43247100000008
1585,1713001585,13,9751.155271,9418.099188,-333.0560829999995
1586,1713001586,12,9863.267441,9865.745818,2.4783769999994547
1587,1713001587,12,18557.224332,18516.312248,-40.91208400000323
1588,1713001588,15,6593.502251,6207.647608,-385.85464299999967
1589,1713001589,16,10382.632986,10382.632986,0.0
1590,1713001590,12,10328.69929,10355.423548,26.72425800000019
1591,1713001591,15,9200.054171,9200.054171,0.0
1592,1713001592,10,11043.255077,11015.681458,-27.57361900000069
1593,1713001593,16,5920.197385,5920.197385,0.0
1594,1713001594,11,8399.251207,1536.321597,-6862.929609999999
1595,1713001595,11,8392.508242,8392.508242,0.0
1596,1713001596,16,7670.632169,7670.632169,0.0
1597,1713001597,14,5103.131841,5038.595139,-64.53670200000033
1598,1713001598,11,1652.844842,8267.602741,6614.757899
1599,1713001599,14,14280.45051,14172.737957,-107.71255300000121
1600,1713001600,15,7673.042869,8215.676359,542.6334899999993
1601,1713001601,11,6510.556274,6510.556274,0.0
1602,1713001602,13,10311.392533,10506.648798,195.25626499999998
1603,1713001603,14,9925.105014,9925.105014,0.0
1604,1713001604,13,7619.551883,7480.295964,-139.25591900000018
1605,1713001605,14,9703.967777,9439.80714,-264.16063699999904
1606,1713001606,16,2601.672709,2600.405613,-1.2670960000000377
1607,1713001607,15,10586.785089,10586.785089,0.0
1608,1713001608,12,8230.291008,8332.483764,102.19275600000037
1609,1713001609,11,7416.919399,7384.240792,-32.67860700000074
1610,1713001610,13,1619.770729,8032.922241,6413.151512
1611,1713001611,12,13363.075537,13521.799533,158.7239959999988
1612,1713001612,11,7405.630928,5412.643985,-1992.9869429999999
1613,1713001613,12,10670.133108,10668.719715,-1.413393000000724
1614,1713001614,13,1264.454992,1268.707037,4.252044999999953
1615,1713001615,13,9326.184665,9326.184665,0.0
1616,1713001616,16,3540.02458,3389.082984,-150.94159599999966
1617,1713001617,12,9417.143093,6897.660856,-2519.482237
1618,1713001618,12,7051.232912,8308.625777,1257.392864999999
1619,1713001619,12,11599.486426,11599.486426,0.0
1620,1713001620,12,9934.681149,7694.231457,-2240.449692
1621,1713001621,11,9866.147423,7738.380685,-2127.7667380000003
1622,1713001622,13,9779.774755,9758.34608,-21.42867500000102
1623,1713001623,15,10237.119315,10237.119315,0.0
1624,1713001624,15,9457.211435,8576.094999,-881.1164359999984
1625,1713001625,14,9184.229343,9184.229343,0.0
1626,1713001626,11,10531.98352,10693.810129,161.82660899999973
1627,1713001627,15,9417.433647,9417.433647,0.0
1628,1713001628,14,7725.436797,7675.997224,-49.439573000000564
1629,1713001629,15,11961.101013,11961.101013,0.0
1630,1713001630,12,3301.507403,5284.680521,1983.1731180000002
1631,1713001631,14,9845.465328,9813.004761,-32.46056700000008
1632,1713001632,16,12867.00206,12867.00206,0.0
1633,1713001633,11,8171.249288,8204.428507,33.17921900000056
1634,1713001634,13,6774.7414,6704.460649,-70.28075100000024
1635,1713001635,16,14326.669708,14326.669708,0.0
1636,1713001636,10,9793.923597,8856.296394,-937.627203
1637,1713001637,16,9248.364116,9248.364116,0.0
1638,1713001638,10,11714.165453,11714.165453,0.0
1639,1713001639,12,10413.473612,10413.473612,0.0
1640,1713001640,10,7074.302329,6571.652146,-502.65018299999974
1641,1713001641,16,9949.64877,9949.64877,0.0
