seed,N,baseline_s,candidate_s,delta_s,baseline_per_source_s,candidate_per_source_s
1830002336,12,10395.120762,9901.060412,-494.06034999999974,866.2600635,825.0883676666667
1830002337,13,11061.963489,11061.963489,0.0,850.9202683846154,850.9202683846154
1830002338,14,8364.174429,8687.499295,323.324865999999,597.4410306428572,620.5356639285714
1830002339,11,9850.473973,9908.399062,57.9250890000003,895.497633909091,900.7635510909091
1830002340,11,10356.541884,10908.907006,552.3651219999992,941.5038076363636,991.7188187272727
1830002341,13,9971.89855,9747.821056,-224.0774939999992,767.0691192307693,749.832388923077
1830002342,12,8516.035964,8521.984552,5.94858799999929,709.6696636666667,710.1653793333334
1830002343,12,15124.396037,14921.215007,-203.18102999999974,1260.3663364166666,1243.4345839166667
1830002344,14,10483.68004,10621.330981,137.65094099999988,748.8342885714285,758.666498642857
1830002345,10,10079.99788,10079.99788,0.0,1007.9997880000001,1007.9997880000001
1830002346,15,7736.252761,7792.187818,55.9350570000006,515.7501840666666,519.4791878666667
1830002347,16,9723.646918,9762.672514,39.025595999999496,607.727932375,610.167032125
1830002348,13,10229.087403,10375.017213,145.92980999999963,786.8528771538461,798.0782471538461
1830002349,16,10520.517408,10186.848601,-333.668807,657.532338,636.6780375625
1830002350,14,8042.783492,8181.930308,139.1468160000004,574.4845351428571,584.4235934285714
1830002351,13,10360.46525,10323.847002,-36.61824799999886,796.9588653846154,794.1420770769231
1830002352,11,11165.465881,11470.224679,304.75879800000075,1015.0423528181818,1042.7476980909091
1830002353,13,9645.186373,9645.186373,0.0,741.9374133076924,741.9374133076924
1830002354,13,8894.808724,9237.130142,342.32141799999954,684.2160556923077,710.5484724615385
1830002355,15,18462.515749,17243.755493,-1218.7602559999978,1230.8343832666665,1149.5836995333334
1830002356,14,9370.560839,9725.125704,354.5648650000003,669.3257742142857,694.651836
1830002357,13,9230.991411,9150.466936,-80.52447500000017,710.0762623846155,703.8820720000001
1830002358,15,8127.642514,8269.75263,142.11011600000074,541.8428342666667,551.3168420000001
1830002359,12,9158.915244,9918.872625,759.9573810000002,763.242937,826.57271875
1830002360,13,10604.099909,10954.158706,350.0587969999997,815.6999930000001,842.6275927692308
1830002361,10,10263.08858,10224.857628,-38.23095199999989,1026.3088579999999,1022.4857628
1830002362,11,8749.79517,8749.79517,0.0,795.4359245454544,795.4359245454544
1830002363,13,12146.562702,12071.620719,-74.9419829999988,934.3509770769231,928.5862091538462
1830002364,12,9325.953796,9325.953796,0.0,777.1628163333334,777.1628163333334
1830002365,10,9592.635208,9607.342771,14.707562999999936,959.2635207999999,960.7342771
1830002366,16,1300.409426,1427.174856,126.76543000000015,81.275589125,89.1984285
1830002367,12,13627.484216,13713.26172,85.77750399999968,1135.6236846666668,1142.77181
1830002368,12,9893.733785,10022.291205,128.55741999999918,824.4778154166667,835.19093375
1830002369,13,9878.202407,9442.328167,-435.874240000001,759.8617236153847,726.3329359230769
1830002370,12,8154.208619,8290.000413,135.79179399999975,679.5173849166666,690.83336775
1830002371,16,9140.421446,9446.352083,305.9306369999995,571.276340375,590.3970051875
1830002372,13,11463.174836,11463.174836,0.0,881.7826796923077,881.7826796923077
1830002373,16,5544.700833,7475.50011,1930.799277,346.5438020625,467.218756875
1830002374,14,8675.797176,8691.344322,15.547146000000794,619.6997982857143,620.8103087142857
1830002375,15,11105.346423,10432.85998,-672.4864430000016,740.3564282000001,695.5239986666667
1830002376,15,9306.802981,9342.718105,35.915123999999196,620.4535320666668,622.8478736666667
1830002377,11,9527.803114,8966.353222,-561.4498920000005,866.1639194545455,815.1230201818181
1830002378,15,8413.300297,8160.743226,-252.55707100000018,560.8866864666667,544.0495483999999
1830002379,16,9439.493654,8239.483948,-1200.0097060000007,589.968353375,514.96774675
1830002380,10,9010.220552,9010.220552,0.0,901.0220552000001,901.0220552000001
1830002381,16,5872.640793,5071.592816,-801.0479769999993,367.0400495625,316.974551
1830002382,11,11315.331142,10606.731596,-708.5995460000013,1028.6664674545455,964.2483269090909
1830002383,14,9840.352526,10049.940332,209.58780599999955,702.8823232857143,717.8528808571428
1830002384,11,9140.224076,9140.224076,0.0,830.9294614545455,830.9294614545455
1830002385,16,11455.140305,11393.422548,-61.71775700000035,715.9462690625,712.08890925
1830002386,14,9096.141582,8620.149528,-475.9920540000003,649.7243987142857,615.7249662857142
1830002387,11,9841.456346,10053.624502,212.16815599999973,894.6778496363637,913.9658638181819
1830002388,12,9104.157843,8971.398985,-132.75885800000106,758.67982025,747.6165820833334
1830002389,12,8885.769854,8706.045412,-179.72444200000064,740.4808211666667,725.5037843333333
1830002390,11,9360.199489,8914.360884,-445.8386050000008,850.9272262727274,810.396444
1830002391,13,12160.180528,12707.850288,547.6697599999989,935.3985021538463,977.5269452307692
1830002392,13,9495.854782,9434.318946,-61.53583600000093,730.4503678461539,725.7168419999999
1830002393,14,10020.711346,10211.081244,190.36989800000083,715.7650961428571,729.3629460000001
1830002394,15,8260.652248,8413.381791,152.72954299999947,550.7101498666667,560.8921194
1830002395,11,9516.288489,9716.511625,200.2231359999987,865.1171353636364,883.3192386363636
1830002396,14,10544.924629,10929.131959,384.2073300000011,753.2089020714285,780.6522827857143
1830002397,14,10604.035883,10277.541083,-326.4948000000004,757.4311345,734.1100773571428
1830002398,16,2728.711826,2744.445313,15.733486999999968,170.544489125,171.5278320625
1830002399,11,11124.604236,11025.166994,-99.43724199999997,1011.3276578181817,1002.2879085454545
1830002400,12,11361.324846,11479.625553,118.30070700000033,946.7770704999999,956.63546275
1830002401,13,9187.410023,9487.650364,300.2403409999988,706.723847923077,729.8192587692307
1830002402,16,1329.123672,1329.123672,0.0,83.0702295,83.0702295
1830002403,11,10310.005694,10175.2856,-134.72009400000024,937.2732449090909,925.0259636363636
1830002404,16,8124.791939,7570.448977,-554.3429619999997,507.7994961875,473.1530610625
1830002405,11,11400.504578,11298.050203,-102.45437499999935,1036.409507090909,1027.095473
1830002406,14,8462.670861,8572.553599,109.88273800000024,604.4764900714287,612.3252570714286
1830002407,11,9387.313526,9331.387585,-55.92594099999951,853.3921387272727,848.3079622727273
1830002408,15,9960.27306,9960.27306,0.0,664.018204,664.018204
1830002409,11,10180.445721,10069.897514,-110.54820699999982,925.4950655454545,915.4452285454546
1830002410,14,8666.044371,8957.783379,291.73900800000047,619.0031693571428,639.8416699285715
1830002411,14,10780.669523,10345.559041,-435.11048200000005,770.0478230714286,738.9685029285714
1830002412,11,11078.713392,11169.834286,91.12089399999968,1007.1557629090909,1015.4394805454544
1830002413,14,10024.011604,10121.485616,97.47401200000058,716.0008288571428,722.9632582857142
1830002414,14,10342.778285,10327.927695,-14.850590000000011,738.7698775,737.7091210714286
1830002415,14,8976.343982,9112.957823,136.61384100000032,641.1674272857143,650.9255587857143
1830002416,15,9067.237668,9067.237668,0.0,604.4825112,604.4825112
1830002417,16,8124.392299,6561.492736,-1562.899563,507.7745186875,410.093296
1830002418,14,9743.934789,9948.257988,204.32319899999857,695.9953420714286,710.5898562857143
1830002419,11,9646.646613,9417.440711,-229.20590200000152,876.9678739090909,856.1309737272727
1830002420,11,11670.564572,11487.464203,-183.10036899999977,1060.9604156363637,1044.3149275454546
1830002421,16,10577.884547,9481.739887,-1096.14466,661.1177841875,592.6087429375
1830002422,13,8577.967386,8684.527284,106.55989799999952,659.843645076923,668.0405603076923
1830002423,13,12793.285265,12793.285265,0.0,984.0988665384616,984.0988665384616
1830002424,14,10223.593598,10425.419177,201.8255790000003,730.2566855714285,744.6727983571428
1830002425,11,9881.562744,9832.828286,-48.734458000000814,898.3238858181819,893.8934805454545
1830002426,10,8923.249822,8923.249822,0.0,892.3249822,892.3249822
1830002427,15,10868.47872,11650.540024,782.0613040000007,724.565248,776.7026682666667
1830002428,13,9978.507718,9800.45042,-178.05729800000154,767.5775167692308,753.8808015384615
1830002429,16,8232.884639,9979.461732,1746.5770929999999,514.5552899375,623.71635825
1830002430,15,11850.933836,11825.437347,-25.49648900000102,790.0622557333334,788.3624897999999
1830002431,13,9189.93132,9338.65635,148.7250299999996,706.9177938461538,718.3581807692307
1830002432,16,9744.287306,11574.850572,1830.5632659999992,609.017956625,723.42816075
1830002433,11,11299.351731,11649.566972,350.2152409999999,1027.2137937272728,1059.051542909091
1830002434,13,9023.234926,8356.432278,-666.802647999999,694.0949943076922,642.8024829230769
1830002435,15,12163.519653,11915.657733,-247.86191999999937,810.9013102,794.3771822
1830002436,13,10929.77658,10606.464191,-323.3123890000006,840.7520446153846,815.8818608461538
1830002437,13,9314.634804,9129.051538,-185.58326599999964,716.5103695384615,702.2347336923077
1830002438,15,8842.296492,8793.168885,-49.12760700000035,589.4864328,586.2112589999999
1830002439,16,6841.899628,7370.666552,528.7669239999996,427.61872675,460.6666595
1830002440,12,9872.13545,9796.943033,-75.1924170000002,822.6779541666666,816.4119194166666
1830002441,16,10291.627683,9782.428272,-509.1994110000014,643.2267301875,611.401767
1830002442,15,10236.005771,10700.203431,464.1976599999998,682.4003847333333,713.3468954
1830002443,13,10101.23281,9908.584538,-192.64827200000036,777.0179084615385,762.1988106153846
1830002444,16,7189.170048,7196.8646,7.694551999999931,449.323128,449.8040375
